PrecinctName,CityName,SeattleCouncilDistrict
SEA 43-1858,Seattle,3
SEA 43-1859,Seattle,3
SEA 43-1860,Seattle,3
SEA 43-1861,Seattle,3
SEA 43-1867,Seattle,3
SEA 43-1868,Seattle,3
SEA 43-1869,Seattle,3
SEA 43-1870,Seattle,3
SEA 43-1874,Seattle,3
SEA 43-1887,Seattle,3
SEA 43-1888,Seattle,3
SEA 43-1889,Seattle,3
SEA 43-1893,Seattle,3
SEA 43-1910,Seattle,3
SEA 43-1911,Seattle,3
SEA 43-1962,Seattle,4
SEA 43-1963,Seattle,4
SEA 43-1968,Seattle,4
SEA 43-1969,Seattle,4
SEA 43-1970,Seattle,4
SEA 43-1971,Seattle,4
SEA 43-1974,Seattle,4
SEA 43-1976,Seattle,4
SEA 43-1977,Seattle,4
SEA 43-1978,Seattle,4
SEA 43-1980,Seattle,4
SEA 43-1982,Seattle,3
SEA 43-1983,Seattle,3
SEA 43-1986,Seattle,3
SEA 43-1990,Seattle,3
SEA 43-1991,Seattle,3
SEA 43-1992,Seattle,3
SEA 43-1993,Seattle,3
SEA 43-1994,Seattle,3
SEA 43-1995,Seattle,3
SEA 43-1996,Seattle,3
SEA 43-1997,Seattle,3
SEA 43-1999,Seattle,3
SEA 43-2000,Seattle,3
SEA 43-2001,Seattle,3
SEA 43-2002,Seattle,3
SEA 43-2004,Seattle,3
SEA 43-2006,Seattle,3
SEA 43-2007,Seattle,3
SEA 43-2008,Seattle,3
SEA 43-2009,Seattle,3
SEA 43-2011,Seattle,3
SEA 43-2013,Seattle,3
SEA 43-2014,Seattle,3
SEA 43-2015,Seattle,3
SEA 43-2016,Seattle,3
SEA 43-2017,Seattle,3
SEA 43-2018,Seattle,3
SEA 43-2020,Seattle,3
SEA 43-2021,Seattle,3
SEA 43-2023,Seattle,4
SEA 43-2024,Seattle,4
SEA 43-2025,Seattle,3
SEA 43-2026,Seattle,3
SEA 43-2027,Seattle,3
SEA 43-2028,Seattle,3
SEA 43-2029,Seattle,3
SEA 43-2033,Seattle,3
SEA 43-2034,Seattle,3
